imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0100403,"Predator 2",1990,108,35000000,57120318,6.3,202331,2,1
tt0289043,"28 Days Later",2002,113,8000000,82784517,7.5,547979,3,0
tt0083686,"The Party 2",1982,109,NULL,NULL,6.3,5739,3,0
tt0098382,"Star Trek V: The Final Frontier",1989,107,33000000,63000000,5.5,68015,1,0
tt0046672,"20,000 Leagues Under the Sea",1954,127,5000000,28200000,7.2,40520,0,0
tt0102975,"Star Trek VI: The Undiscovered Country",1991,110,27000000,96888996,7.3,85230,2,1
tt0095250,"The Big Blue",1988,168,13500000,4000000,7.5,58805,2,0
tt0387564,Saw,2004,103,1200000,104045735,7.6,510246,2,0
tt0101889,"The Fisher King",1991,137,24000000,41895491,7.5,96787,3,1
tt0109303,"Blown Away",1994,121,28000000,30156002,6.3,36784,NULL,NULL
tt0373926,"The Interpreter",2005,128,80000000,162944923,6.4,115148,NULL,NULL
tt0181689,"Minority Report",2002,145,102000000,358372926,7.6,621744,1,NULL
tt0452624,"The Good German",2006,105,32000000,5914908,6,27016,1,0
tt0098663,"The Wizard",1989,100,6000000,14278900,6.1,17656,NULL,NULL
tt0119396,"Jackie Brown",1997,154,12000000,74727492,7.5,404400,3,0
tt0066921,"A Clockwork Orange",1971,136,2200000,27033812,8.2,937145,1,0
tt0425210,"Lucky Number Slevin",2006,110,27000000,56300000,7.7,339042,1,0
tt0401792,"Sin City",2005,124,40000000,158733820,8,820785,3,0
tt0458481,"Sin City: A Dame to Kill For",2014,102,65000000,39407616,6.5,178827,1,0
tt0248103,"The State I Am In",2000,106,3000000,NULL,6.9,2918,NULL,NULL
tt0091605,"The Name of the Rose",1986,130,18000000,77200000,7.7,127159,0,1
tt0111280,"Star Trek: Generations",1994,118,38000000,118071125,6.6,91341,3,0
tt0211915,Amélie,2001,122,10000000,173921954,8.3,840185,3,0
tt0023622,"Trouble in Paradise",1932,83,NULL,NULL,7.9,17494,NULL,NULL
tt0099088,"Back to the Future Part III",1990,118,40000000,244527583,7.5,520302,1,NULL
tt0112573,Braveheart,1995,178,72000000,213216216,8.3,1161453,2,NULL
tt0035446,"To Be or Not to Be",1942,99,1200000,1500000,8.1,49863,0,0
tt0117731,"Star Trek: First Contact",1996,111,46000000,146027888,7.6,137950,3,0
tt0120844,"Star Trek: Insurrection",1998,103,70000000,112587658,6.4,83198,3,0
tt0253754,"Star Trek: Nemesis",2002,116,60000000,67336470,6.4,87971,1,NULL
tt0070379,"Mean Streets",1973,112,500000,3000000,7.2,128224,1,0
tt0046268,"The Wages of Fear",1953,156,NULL,NULL,8.1,73641,1,0
tt0395169,"Hotel Rwanda",2004,121,17500000,38000000,8.1,392166,NULL,NULL
tt0287624,"Paradise Found",2003,93,NULL,NULL,5.7,729,NULL,NULL
tt0097165,"Dead Poets Society",1989,128,16400000,235860116,8.1,653130,1,0
tt0276820,"Berlin Is in Germany",2001,99,NULL,NULL,7.1,1225,NULL,NULL
